Claimant Gender,Claimant Age,Claim Amount
Female,35,8645.96
Male,56,6028.47
Male,39,8558.87
Female,48,11217.09
Female,69,14729.18
Female,30,500.0
Male,35,15750.44
Female,26,500.0
Female,39,3608.44
Male,49,9092.37
Female,26,2636.12
Other,44,1777.63
Male,57,2775.58
Male,52,8706.61
Female,62,5823.42
Male,22,1137.0
Female,49,10438.35
Male,36,7858.27
Female,37,877.16
Female,32,500.0
Female,43,9128.22
Male,43,11379.09
Male,38,9738.81
Male,22,500.0
Male,50,8980.42
Male,43,6228.04
Female,32,8279.85
Male,42,6704.62
Female,34,13665.83
Male,28,3972.08
Female,52,5902.48
Other,25,500.0
Male,51,6659.13
Female,41,5510.34
Female,36,500.0
Female,40,11993.28
Female,35,11394.7
Male,41,8036.87
Male,18,10750.58
Male,49,11177.51
Female,63,10609.65
Other,36,9891.72
Female,36,8136.42
Male,39,8771.97
Female,41,1428.63
Female,30,8413.93
Male,34,5271.19
Male,48,9154.31
Male,42,9881.98
Female,43,13526.49
Female,46,6382.61
Male,51,13403.43
Male,29,500.0
Female,40,8940.38
Other,58,5809.86
Female,39,7851.8
Female,52,6595.18
Male,73,10319.97
Female,35,9721.89
Male,35,8146.34
Female,49,9569.9
Male,26,500.0
Female,53,11048.91
Male,63,10881.75
Female,59,5314.25
Male,39,6251.47
Male,53,11484.46
Female,50,9107.67
Male,33,15069.72
Other,34,500.0
Female,60,23257.22
Female,35,6669.97
Female,32,6289.1
Female,56,7519.57
Female,32,2244.61
Other,52,9665.3
Male,50,10083.53
Male,52,5492.0
Female,48,9909.69
Male,44,15420.34
Female,60,17305.7
Male,32,15893.81
Male,44,15107.65
Female,39,715.34
Female,44,10004.42
Other,46,13307.31
Female,28,500.0
Male,39,5387.63
Male,63,7900.74
Male,57,5784.17
Female,34,15166.75
Male,48,7483.26
Male,43,10963.54
Other,53,2150.38
Female,45,3551.53
Male,39,9388.52
Male,31,7659.83
Female,50,14702.35
Female,46,3525.49
Male,45,10088.73
Male,37,4186.3
Female,43,8023.01
Female,49,7897.65
Female,50,3832.32
Female,27,10854.45
Other,31,2149.8
Male,60,12678.86
Male,36,15282.34
Female,24,500.0
Female,20,1363.14
Female,47,6006.63
Male,29,500.0
Female,30,6540.91
Male,32,9814.58
Female,18,4198.75
Male,49,5742.98
Female,65,9444.62
Female,19,649.23
Male,43,3287.84
Male,38,15755.06
Female,54,13248.63
Female,49,7360.42
Male,50,500.0
Male,24,5239.96
Male,41,8560.45
Other,33,500.0
Male,32,10830.41
Male,41,8188.93
Female,43,11878.44
Female,54,15496.51
Male,34,11409.46
Other,30,2341.94
Female,36,6205.97
Female,47,5377.9
Male,45,7723.33
Female,36,2282.41
Male,41,9383.73
Male,31,12536.96
Male,35,6812.67
Female,38,11404.43
Female,18,8938.74
Female,35,15247.98
Male,27,500.0
Female,32,6439.81
Female,50,5144.51
Male,43,8435.44
Female,34,500.0
Male,39,7261.44
Female,22,500.0
Male,40,12453.94
Female,38,3051.58
Other,36,500.0
Other,39,8608.78
Male,52,11653.0
Male,39,14730.69
Male,51,15158.27
Female,51,9916.71
Female,25,6047.54
Male,51,997.76
Male,44,8903.39
Other,35,8877.74
Female,38,11027.08
Male,52,8087.79
Male,48,3712.35
Male,23,2686.13
Female,33,2925.73
Other,28,1280.41
Female,29,3751.71
Female,31,2544.91
Female,41,4184.48
Male,56,12868.95
Male,49,10945.05
Other,43,7304.14
Male,38,500.0
Male,41,10853.5
Other,41,6613.86
Male,48,3019.86
Female,49,5341.77
Other,52,9131.62
Female,40,10950.49
Male,26,500.0
Male,36,4481.63
Male,41,7917.14
Male,18,500.0
Female,18,500.0
Male,28,5920.06
Male,38,2529.55
Female,28,9873.06
Female,30,7675.47
Female,19,8503.74
Male,36,500.0
Female,42,5800.87
Female,41,4278.85
Male,38,3106.14
Male,18,7585.06
Male,48,9837.12
Female,45,12943.14
Male,38,500.0
Other,32,500.0
Female,31,6022.12
Other,27,14464.52
Male,36,7034.89
Male,22,8074.22
Male,59,3092.88
Male,42,1997.77
Female,49,2548.79
Male,40,6871.07
Male,38,5402.04
Male,42,3939.37
Male,64,3841.66
Female,37,10480.68
Female,18,500.0
Female,51,6767.4
Male,26,4388.47
Other,48,8227.89
Female,20,12232.02
Male,20,6634.56
Male,47,6436.58
Other,43,2649.45
Female,36,17785.68
Female,33,12799.34
Male,28,9791.37
Male,34,7538.49
Female,44,13055.51
Female,23,3448.93
Female,23,13638.87
Female,54,14212.53
Male,30,5939.76
Female,46,500.0
Other,34,8532.19
Female,34,10760.52
Male,19,6657.77
Male,44,500.0
Female,33,13147.89
Female,44,3670.68
Female,50,9532.31
Other,49,4164.81
Female,52,10195.15
Female,44,11925.32
Male,47,4947.66
Male,25,11974.15
Male,47,500.0
Other,41,6088.44
Male,43,15556.47
Female,50,3059.41
Female,48,17520.02
Female,26,12156.37
Female,36,500.0
Male,62,17768.78
Female,30,7694.17
Male,39,500.0
Male,39,14952.62
Male,44,8766.59
Male,57,12389.8
Male,36,1253.54
Female,59,15986.77
Male,45,3017.73
Female,41,9185.14
Male,38,500.0
Male,48,14029.84
Female,45,12789.99
Other,26,3458.91
Female,26,2598.64
Other,56,3807.35
Female,59,6413.8
Female,18,500.0
Female,34,500.0
Female,52,14519.76
Male,26,1067.02
Female,44,7452.41
Male,47,5996.01
Male,45,1335.12
Female,38,5873.29
Male,35,14269.11
Male,35,500.0
Male,55,10429.33
Other,45,6680.4
Male,30,3499.99
Male,36,1947.32
Female,40,12794.89
Female,40,1975.36
Male,37,6476.01
Male,39,13224.64
Male,42,592.56
Male,51,7854.79
Male,25,2845.74
Male,42,8460.94
Female,41,3130.02
Female,55,5112.81
Female,47,10079.1
Male,52,7667.18
Male,48,9437.87
Female,35,7950.6
Male,38,500.0
Female,47,13295.6
Female,59,4220.51
Female,47,500.0
Male,45,13196.84
Male,56,13377.98
Female,45,6471.61
Female,18,10904.6
Male,22,6865.09
Other,28,500.0
Male,35,5134.39
Male,54,2076.84
Female,66,16186.23
Female,44,12991.93
Other,43,500.0
Male,32,7688.42
Male,43,12310.42
Female,57,9763.36
Male,31,12675.03
Male,37,4481.81
Female,18,5703.44
Male,51,16254.05
Female,33,500.0
Male,27,500.0
Female,21,9482.95
Female,35,1181.41
Male,52,2610.53
Male,52,15168.99
Male,38,3658.76
Male,21,4604.32
Female,38,7310.71
Other,52,4805.57
Female,18,12673.49
Female,44,10965.29
Male,48,6033.27
Male,57,8482.62
Other,51,10734.79
Other,56,5829.0
Female,34,15009.82
Male,52,500.0
Female,19,500.0
Male,36,2970.63
Female,65,6235.51
Female,43,9246.17
Male,29,1833.31
Other,68,13639.89
Other,45,10194.85
Other,54,13905.74
Female,37,16547.49
Male,24,1127.46
Female,38,2644.46
Male,46,10617.5
Male,18,6676.48
Male,18,7264.31
Female,57,12202.03
Male,62,17259.73
Male,35,3718.44
Male,41,6438.54
Female,29,6126.13
Female,45,14672.41
Male,54,10952.06
Other,49,6127.89
Male,50,9600.12
Female,22,5596.47
Female,32,9791.41
Female,30,500.0
Male,32,5643.82
Other,55,4296.71
Other,41,8646.28
Female,30,4879.53
Female,30,9654.53
Male,33,500.0
Female,41,10958.86
Male,29,5680.93
Female,34,11053.16
Male,33,14477.71
Female,41,6152.13
Male,51,9747.47
Male,49,10558.44
Male,44,3239.78
Male,35,2019.13
Female,29,5032.56
Female,35,4186.17
Female,45,9490.26
Female,48,7758.65
Female,35,5482.99
Male,46,7945.05
Male,42,7450.95
Male,40,15132.18
Female,48,546.31
Male,55,6880.25
Male,51,11466.52
Female,22,4675.89
Other,35,11778.32
Female,69,16119.67
Female,41,10879.61
Female,50,13340.8
Female,31,3654.12
Female,44,500.0
Female,27,500.0
Male,33,6041.91
Male,24,6578.08
Male,24,511.71
Female,20,500.0
Female,27,14080.06
Male,24,831.76
Male,27,6288.15
Female,42,13962.18
Female,44,3592.11
Female,32,15015.4
Female,31,7360.89
Female,44,9881.89
Female,37,4012.89
Male,45,4598.77
Male,48,500.0
Male,41,6709.89
Female,39,6362.72
Other,53,2691.41
Other,23,5847.06
Female,62,23952.05
Male,42,1831.84
Other,34,500.0
Female,40,6879.05
Male,41,911.7
Female,45,14774.15
Male,43,8572.22
Male,64,13268.52
Female,33,15599.03
Female,40,19578.55
Male,18,2947.24
Female,74,16015.84
Other,41,10687.09
Female,39,8024.77
Male,50,6178.08
Male,49,3384.89
Male,28,6705.9
Other,53,13988.84
Male,33,500.0
Female,22,6817.93
Female,32,7899.4
Female,39,5020.85
Female,40,17007.66
Female,29,1075.39
Male,35,500.0
Male,41,9838.53
Other,27,500.0
Other,36,1761.83
Other,36,4750.74
Other,18,4756.45
Female,32,11875.05
Female,30,500.0
Female,34,11281.76
Female,27,5296.06
Male,42,1715.12
Male,39,7658.87
Other,41,4833.85
Male,44,6138.73
Female,40,3323.59
Male,52,14213.88
Male,23,500.0
Male,30,4662.66
Male,47,1385.71
Male,48,8501.6
Male,62,7789.27
Female,20,500.0
Male,21,500.0
Male,42,12987.78
Male,18,500.0
Female,30,3714.91
Female,39,7022.83
Female,36,9514.25
Male,53,500.0
Male,55,14738.4
Female,33,5951.0
Female,26,5906.04
Male,31,9089.8
Female,37,10991.9
Male,68,6580.81
Male,56,5001.22
Female,24,500.0
Female,44,10792.24
Male,41,3503.51
Male,36,2504.45
Other,58,8402.28
Female,30,500.0
Female,34,8989.98
Female,42,6944.13
Female,51,16786.95
Male,19,5631.31
Male,39,4769.18
Male,52,8040.48
Female,50,10842.04
Male,57,7476.33
Female,26,4323.84
Male,38,8295.03
Male,39,7773.44
Male,55,7216.08
Male,39,12984.97
Male,48,9865.81
Male,44,9117.47
Male,58,11642.78
Female,45,9961.26
Female,42,13333.27
Male,40,14896.58
Female,35,11130.44
Female,61,8103.67
Male,40,6891.93
Female,33,20346.44
Female,57,9449.47
Male,29,4054.72
Other,39,14278.16
Female,38,14470.45
Other,36,7876.57
Female,41,1357.44
Male,47,17385.28
Male,33,500.0
Female,36,11064.07
Other,37,500.0
Female,58,17196.14
Female,40,11468.23
Male,39,9752.37
Male,38,500.0
Other,54,6381.49
Female,45,521.12
Other,35,754.05
Female,59,10188.84
Male,47,11508.42
Female,61,11185.38
Other,38,11908.97
Female,33,10128.84
Male,42,16876.53
Male,19,5615.9
Female,26,10234.34
Male,39,16448.8
Female,47,19588.5
Male,44,5656.58
Male,39,7605.63
Female,45,815.11
Female,28,7852.53
Female,56,9015.24
Male,30,1475.49
Other,44,4530.37
Male,60,11698.16
Male,47,10909.12
Female,65,12485.59
Female,32,4971.48
Male,18,3982.4
Other,56,12311.29
Female,39,500.0
Other,38,9565.13
Female,44,926.72
Female,52,2424.35
Male,43,6321.19
Male,33,9908.44
Female,46,19406.94
Female,28,500.0
Male,21,3097.25
Male,43,13389.72
Male,31,500.0
Female,40,11648.95
Female,28,7954.29
Female,52,908.04
Other,30,5288.59
Female,40,5090.46
Other,47,12372.06
Male,39,11384.9
Male,35,5016.44
Male,57,500.0
Female,52,12126.47
Female,63,19125.55
Female,29,2308.02
Male,32,500.0
Female,44,8389.89
Female,53,10763.92
Male,31,3088.74
Female,65,21521.72
Other,37,11333.01
Female,45,6660.83
Female,54,558.6
Male,34,1594.81
Male,26,1641.57
Female,62,3347.63
Female,46,4991.02
Male,51,1156.87
Male,42,11193.43
Other,67,14103.37
Female,24,5255.04
Female,32,6865.36
Male,47,3865.9
Male,24,500.0
Male,33,2202.0
Female,41,7500.4
Male,28,7958.38
Female,36,12147.14
Other,21,500.0
Male,42,7172.59
Female,45,12510.23
Female,39,500.0
Other,51,2066.04
Female,55,17269.57
Male,27,6272.77
Male,48,500.0
Female,48,4842.82
Female,59,12031.2
Male,36,6554.78
Female,44,10785.61
Female,41,7065.23
Male,41,4825.15
Female,30,643.25
Male,30,500.0
Female,39,13027.62
Female,57,5463.54
Male,36,2048.41
Female,45,10967.76
Female,47,18556.46
Other,46,2677.82
Male,42,5746.39
Female,28,7043.78
Female,74,12776.8
Female,38,500.0
Female,45,500.0
Male,40,5356.44
Male,57,5681.29
Female,33,2627.08
Male,37,500.0
Other,48,3144.07
Female,42,9095.17
Female,42,8913.63
Female,42,3702.26
Female,53,12911.32
Female,47,8367.89
Male,42,5358.97
Male,36,798.81
Male,60,10093.95
Female,48,9084.54
Female,37,10105.18
Male,57,6827.52
Female,18,1559.71
Male,38,501.92
Other,26,3977.53
Male,18,3325.12
Female,43,7727.29
Female,71,10742.17
Female,42,2112.13
Male,54,5726.12
Other,31,9128.42
Male,27,12532.17
Female,52,7373.62
Other,38,500.0
Female,36,7485.44
Female,41,4804.97
Other,38,6186.67
Female,43,3660.76
Male,54,11720.11
Male,51,6349.72
Male,50,894.4
Male,41,5181.52
Female,55,13426.08
Female,63,7677.04
Male,51,13524.33
Female,59,9935.53
Male,30,2409.14
Other,51,3864.45
Other,37,15335.93
Other,18,11214.8
Female,53,10958.66
Male,37,10178.25
Female,56,7206.88
Male,46,3514.63
Male,50,500.0
Female,33,11315.7
Male,23,4983.84
Other,54,12752.81
Other,41,6453.88
Male,45,21064.28
Female,49,14338.91
Female,36,7284.41
Female,32,1180.33
Female,41,500.0
Male,35,6513.89
Male,21,500.0
Male,25,4392.68
Other,33,500.0
Male,55,12361.36
Male,28,11320.47
Female,62,19785.81
Female,28,12724.72
Female,35,2832.71
Female,18,500.0
Female,60,18049.55
Female,18,17609.89
Male,31,2736.33
Female,31,7226.35
Male,48,8396.45
Male,44,13835.85
Other,53,3081.24
Male,49,9688.27
Other,55,1584.39
Male,30,5459.68
Male,54,13459.67
Female,51,7747.8
Female,33,500.0
Female,30,3639.76
Female,39,10418.43
Male,41,500.0
Other,36,6954.43
Male,19,500.0
Female,47,7669.35
Male,38,7945.42
Female,26,500.0
Female,21,12334.0
Male,46,500.0
Other,42,2740.64
Male,27,5721.56
Male,35,3092.33
Female,44,3114.1
Male,37,500.0
Male,51,9564.6
Female,32,10836.83
Female,55,5349.44
Male,35,11017.28
Female,54,13678.13
Female,34,6993.4
Female,40,8219.38
Other,28,834.87
Female,65,11623.59
Female,39,500.0
Male,28,500.0
Male,36,1578.53
Female,50,4257.0
Other,27,1539.55
Female,42,2979.17
Male,50,6885.03
Female,29,12161.31
Female,36,10809.06
Female,35,10825.81
Female,27,2431.73
Female,18,4988.49
Male,54,11053.98
Other,49,10999.62
Female,55,13174.9
Male,37,16180.76
Male,45,9814.22
Other,44,500.0
Female,42,7165.7
Male,18,500.0
Male,42,14160.82
Male,38,8851.08
Male,23,500.0
Female,20,11643.57
Female,44,9696.27
Female,41,7552.54
Female,44,7962.38
Male,53,8844.15
Male,56,16730.62
Male,30,19053.29
Male,37,7856.99
Male,48,7156.72
Female,60,14921.86
Female,56,14253.33
Female,37,8776.78
Female,40,8717.61
Female,48,6945.36
Female,32,9777.36
Male,58,6661.66
Other,51,5730.46
Male,32,3448.38
Male,46,1878.78
Male,56,12240.06
Other,49,10089.02
Other,39,7660.8
Female,34,500.0
Female,30,5148.46
Female,57,19529.92
Other,18,11560.1
Female,18,500.0
Other,54,6130.23
Male,32,5772.46
Male,22,500.0
Female,45,16913.6
Male,41,6660.29
Other,36,1950.5
Female,33,5380.19
Other,43,5107.47
Male,56,14765.94
Female,36,500.0
Female,32,25241.12
Female,53,9582.67
Female,18,500.0
Other,40,7004.7
Female,41,4682.28
Male,56,4810.76
Other,60,12809.92
Male,48,3400.27
Male,60,500.0
Male,59,3027.0
Female,35,12991.02
Male,41,1208.16
Male,26,2653.51
Other,26,9931.45
Female,33,5637.19
Male,43,16712.05
Female,43,13398.32
Other,29,500.0
Male,35,500.0
Female,42,10224.6
Female,35,500.0
Female,35,8598.36
Female,48,14745.88
Female,34,1504.18
Male,33,1295.38
Female,45,14097.27
Male,43,15619.83
Female,43,4418.54
Male,54,14980.98
Female,18,500.0
Male,60,13954.77
Female,52,5010.92
Male,36,2977.82
Female,37,17787.42
Female,24,19216.24
Female,37,8880.21
Male,45,7872.33
Male,42,14975.41
Female,50,12054.28
Other,28,4748.31
Male,33,1677.57
Male,42,2517.37
Male,66,11230.59
Female,46,8408.94
Male,36,16449.5
Female,51,13266.23
Male,50,13759.69
Male,50,6726.84
Male,34,11859.35
Female,46,13631.6
Female,39,1889.79
Male,49,15839.98
Other,43,9317.93
Male,59,11694.35
Female,27,2569.48
Female,36,4244.77
Male,32,1562.31
Female,36,10913.0
Female,54,11846.27
Male,27,500.0
Female,46,1420.48
Male,41,8119.06
Female,18,1446.99
Male,37,2139.89
Female,28,4188.51
Male,18,836.58
Male,45,10114.58
Male,44,13953.72
Male,58,2352.27
Female,32,12912.83
Male,28,10511.63
Female,46,9915.35
Male,42,13608.25
Female,46,12159.8
Female,36,4251.18
Other,33,3544.9
Other,31,3289.49
Female,42,3729.78
Female,50,8154.49
Male,41,6547.29
Female,44,6662.16
Other,22,500.0
Male,39,15778.1
Female,37,2085.15
Male,33,3431.51
Female,49,3235.73
Female,50,19072.73
Female,41,12551.81
Female,55,8207.18
Other,48,5114.96
Female,39,9033.49
Female,42,7740.18
Male,20,500.0
Male,46,11308.25
Female,48,7741.66
Male,54,9277.17
Male,35,2205.14
Female,44,19066.21
Female,43,9501.33
Female,29,10139.89
Male,44,581.13
Male,37,16525.78
Female,60,17803.79
Male,43,500.0
Male,58,500.0
Male,34,5692.14
Male,32,8292.04
Male,56,15460.78
Male,52,5362.78
Male,40,6470.41
Female,45,6252.26
Male,50,3776.09
Male,51,9471.7
Other,51,10726.68
Female,27,1147.92
Male,40,10378.98
Other,38,10917.11
Male,32,7247.81
Male,64,7407.64
Other,33,986.13
Female,61,14534.14
Female,51,500.0
Female,52,5897.15
Female,32,8124.89
Male,37,5944.42
Male,48,18732.12
Female,41,4107.79
Other,34,13058.98
Male,36,500.0
Female,44,12460.45
Male,20,7076.49
Female,43,4427.03
Female,41,17265.45
Female,43,13114.76
Male,24,6241.91
Male,48,8466.24
Female,30,3928.8
Male,36,2692.0
Male,53,17659.06
Female,26,1558.1
Female,42,18622.58
Male,35,8437.39
Female,53,18370.45
Other,50,12214.51
Male,54,500.0
Female,39,7895.62
Male,38,1444.76
Male,40,10373.17
Male,42,7851.59
Male,25,4752.79
Female,56,10783.68
Male,27,7282.08
Female,48,9403.13
Male,36,500.0
Male,46,2682.13
Female,43,9480.29
Female,48,16289.06
Female,44,7027.03
Female,47,5199.05
Male,59,17542.79
Female,38,500.0
Male,64,7291.81
Female,45,5321.49
Other,44,1306.5
Male,43,500.0
Male,37,1926.32
Female,18,12465.11
Female,61,12172.14
Male,42,8828.54
Other,18,5405.78
Female,23,17665.96
Male,55,2907.96
Male,49,11963.07
Female,39,13700.44
Male,49,10502.17
Male,39,2812.35
Female,44,3357.72
Female,37,24023.05
Female,34,946.52
Male,55,12780.52
Female,40,6182.75
Other,20,5387.74
Male,43,5264.8
Female,42,7718.71
Other,45,6027.73
Female,26,2958.04
Female,51,12618.82
Male,47,16023.26
Female,61,12636.79
Female,35,10202.66
Female,39,5750.82
Other,31,9990.32
Male,47,500.0
Male,41,7944.5
Male,43,4855.46
Female,42,18622.12
Male,24,500.0
Female,43,5784.96
Male,23,500.0
Female,42,7742.81
Male,44,3634.67
Female,46,11265.57
Female,53,11697.27
Other,35,3837.13
Female,41,3237.71
Male,67,13300.34
Male,40,9229.44
Other,43,4727.52
Female,23,8083.16
Male,29,6537.32
Female,43,7204.96
Male,18,5304.36
Male,36,2686.66
Male,62,5843.87
Female,37,14639.3
Male,36,8643.11
Male,50,11967.4
Male,35,5737.13
Male,51,7645.69
Female,75,11810.25
Male,31,2893.24
Male,34,10018.96
Other,43,3978.2
Male,45,3402.87
Male,27,2200.17
Female,44,7118.72
Female,55,3245.04
Female,37,12104.42
Male,61,5933.19
Female,63,17518.41
Female,37,500.0
Female,32,15781.74
Male,48,500.0
Male,38,10780.5
Female,54,10384.5
Female,41,2769.27
Female,41,14360.93
Male,50,5750.5
Male,34,13023.64
Female,36,12650.35
Female,38,19505.6
Male,34,1930.97
Male,36,13312.07
Male,53,6108.96
Female,42,7149.13
Female,58,11845.79
Female,28,8709.76
Female,18,1668.52
Male,32,5379.65
Female,36,9394.0
Other,41,11623.45
Other,30,1459.83
Female,38,13204.65
Male,52,13465.28
Female,46,11532.0
Female,45,6194.36
Female,18,7183.21
Male,34,2728.57
Other,62,3572.05
Female,45,6288.99
Male,30,7880.67
Male,33,5186.65
Female,48,5247.82
Male,33,2094.34
Male,54,8210.61
Female,32,2846.03
Female,40,14414.27
Female,57,6920.21
Male,50,9913.04
Female,53,14629.73
Male,43,500.0
Male,37,1880.38
Male,49,2843.53
Female,61,5468.22
Male,39,7870.24
Male,35,10638.45
Male,39,2158.87
Female,28,500.0
Other,27,6367.6
Other,35,17483.84
Male,44,500.0
Male,31,3677.99
Male,32,13296.75
Female,39,22396.69
Male,51,7687.6
Male,57,12890.36
Female,29,15435.57
Male,57,6594.49
Male,34,10648.64
Male,62,16125.54
Male,52,8712.0
Female,36,7074.45
Other,30,8197.92
Male,30,649.7
Male,28,9588.26
Other,62,983.16
Female,38,500.0
Male,23,500.0
Female,22,7656.28
Male,42,6131.81
Female,34,4004.82
Other,56,16153.59
Female,36,3416.98
Female,37,2911.6
Male,40,6814.76
Female,48,5490.29
Female,43,11601.6
Female,50,8974.85
Male,59,8103.76
Female,33,12748.05
Female,38,12176.73
Male,44,2055.66
Male,52,3915.77
Male,53,15839.81
Female,55,13850.58
Female,28,500.0
Female,43,13714.87
Male,18,1249.37
Other,40,5106.11
Female,53,12230.24
Male,21,5354.27
Male,47,4452.26
Male,36,500.0
Other,46,500.0
Male,41,8861.19
Male,41,6321.11
Male,35,10548.4
Female,44,13655.91
Male,47,3175.51
Male,38,7988.51
Male,22,500.0
Male,46,500.0
Male,63,10740.4
Female,37,12759.77
Female,34,2704.58
Female,49,7974.88
Female,29,567.46
Male,38,11137.63
Female,35,6882.7
Male,40,5298.74
Male,35,13964.84
Other,42,6201.28
Female,46,4755.34
Female,45,500.0
Female,49,17297.14
Other,52,7583.44
Female,54,4641.42
Female,38,7359.11
Female,25,6831.75
Male,38,8204.73
Male,33,500.0
Female,28,11462.18
Male,52,6532.59
Male,44,2525.3
Male,28,6097.53
Male,63,6889.82
Other,54,10640.61
Female,47,8298.22
Female,43,19126.88
Other,39,9536.05
Other,43,8104.04
Female,36,500.0
Other,28,8689.16
Male,31,8555.88
Male,25,6515.73
Male,42,500.0
Female,47,9899.91
Female,24,10185.04
Female,44,8770.1
Female,54,24224.3
Male,53,14643.98
Male,65,9153.02
Female,29,3357.04
Male,36,9034.38
Female,35,11907.12
Female,43,5929.04
Female,45,11724.08
Male,18,500.0
Female,50,500.0
Female,41,13437.81
Other,50,8319.87
Female,52,7947.03
Female,22,500.0
Male,43,1111.91
Female,18,1791.14
Other,56,13247.73
Male,51,14174.09
Male,31,9316.01
Male,37,5872.56
Female,33,4010.99
Male,53,500.0
Male,31,12275.75
Female,24,500.0
Female,24,14795.75
Male,35,569.57
Male,28,7047.91
Male,33,10138.44
Female,60,8757.82
Male,22,500.0
Female,43,3579.49
Female,52,12415.47
Female,31,2259.52
Male,46,13047.96
Female,35,4946.67
Female,49,8721.3
Male,26,5093.4
Male,42,7048.8
Female,23,7498.52
Female,50,1640.3
Male,34,6936.66
Female,75,19077.05
Female,25,8409.71
Other,35,1936.28
Male,45,500.0
Female,38,4352.55
Male,25,4462.12
Female,36,4423.85
Female,31,13851.5
Male,40,6694.63
Female,60,500.0
Male,29,6715.87
Female,61,20822.51
Male,39,6759.15
Female,29,500.0
Male,44,3267.63
Female,45,10346.29
Female,52,12108.7
Female,63,16345.53
Male,40,4096.02
Female,46,12970.37
Male,45,3094.78
Female,18,16317.55
Female,42,14744.16
Female,62,6469.55
Female,45,16190.72
Male,18,5473.2
Female,50,8258.41
Male,68,4426.04
Other,30,7847.82
Female,39,20695.65
Female,32,2721.44
Other,18,2393.59
Male,28,1331.75
Other,46,17628.54
Male,56,6391.27
Female,37,3419.63
Female,18,500.0
Male,37,3240.48
Male,34,8896.79
Male,55,14463.23
Other,51,6500.15
Male,50,500.0
Female,44,6095.5
Female,36,17803.82
Male,32,5084.94
Female,48,9341.74
Female,59,7259.67
Male,18,1344.11
Female,24,10078.4
Male,51,5702.75
Male,25,8970.48
Female,36,6695.69
Male,29,2711.92
Other,33,7939.82
Female,61,2248.31
Female,18,2335.24
Male,18,500.0
Male,62,10633.54
Male,44,10099.22
Female,46,3901.78
Female,58,15415.5
Male,50,5175.73
Male,38,4614.78
Female,60,10587.21
Male,44,7475.05
Female,58,15413.71
Female,25,3071.06
Female,35,5230.93
Male,24,947.77
Other,36,5731.89
Male,27,7679.59
Female,33,7664.54
Male,30,500.0
Female,53,12569.62
Female,32,10410.71
Male,46,15244.23
Female,44,16320.94
Female,27,1476.04
Male,23,6948.89
Male,38,6247.99
Female,54,11093.67
Female,55,11696.87
Female,37,16119.71
Female,35,3427.58
Female,56,500.0
Female,52,19480.14
Female,22,5901.5
Male,47,500.0
Other,41,1748.38
Male,30,4745.1
Male,44,4005.19
Female,43,10501.98
Male,41,5631.57
Male,18,8911.75
Male,32,500.0
Female,65,500.0
Other,44,12683.58
Female,51,15728.96
Female,42,10807.29
Male,55,13927.48
Male,48,500.0
Male,46,7710.3
Male,18,500.0
Male,51,2308.36
Male,39,12152.35
Male,49,10733.7
Female,56,4552.66
Female,50,13289.52
Other,36,6443.94
Female,52,6899.91
Male,51,7722.33
Female,38,1760.33
Male,52,12258.67
Female,35,18326.16
Female,58,2553.32
Female,38,7540.22
Other,47,5661.33
Female,54,14501.89
Female,37,500.0
Male,35,10496.72
Other,47,8798.57
Male,44,12907.62
Other,21,3708.59
Male,46,9846.91
Male,37,3561.88
Female,47,6168.93
Male,34,6696.69
Female,23,7716.49
Male,44,2699.48
Female,58,7993.66
Female,44,1262.11
Female,42,651.45
Male,47,3445.47
Male,39,500.0
Female,38,500.0
Male,41,500.0
Male,50,16520.89
Female,30,4810.42
Female,53,20418.49
Male,45,10343.12
Male,24,500.0
Male,38,500.0
Female,38,3864.3
Male,23,5882.7
Other,37,5592.27
Male,43,500.0
Male,48,14266.01
Female,35,10873.43
Male,62,5922.38
Female,52,9698.9
Female,39,7112.04
Male,69,9132.15
Female,38,13855.2
Male,40,570.74
Male,44,11213.28
Male,47,15498.65
Other,40,500.0
Male,35,3566.39
Female,44,15372.54
Female,35,8090.04
Male,31,10361.96
Female,38,18169.42
Female,32,1334.29
Female,29,10694.1
Female,34,4600.38
Female,45,7864.34
Male,49,500.0
Other,25,2317.43
Female,37,1343.77
Female,33,500.0
Female,33,500.0
Female,74,9049.16
Female,51,5648.33
Female,35,8391.46
Male,34,9951.9
Female,31,19072.72
Male,22,2381.23
Male,49,12316.42
Male,31,2696.93
Male,44,10938.35
Male,18,4770.2
Female,38,2832.27
Male,40,5229.62
Female,27,12515.29
Male,43,3651.11
Male,54,7707.88
Male,53,10364.64
Male,55,3975.03
Female,46,10970.04
Female,31,3258.32
Male,56,3209.99
Female,35,8872.94
Female,30,4952.78
Male,29,3795.71
Male,64,10031.89
Female,46,13034.05
Male,54,8523.71
Other,29,8288.85
Female,31,5406.19
Female,40,3347.47
Male,18,4907.94
Female,20,10175.17
Male,49,12070.66
Other,23,12047.19
Female,45,4676.82
Male,40,2984.3
Female,57,9268.07
Male,38,7151.34
Male,24,1145.87
Female,55,14974.24
Female,28,500.0
Female,41,5310.46
Male,35,8338.5
Female,40,14784.03
Male,52,10554.74
Female,46,14758.91
Female,39,5903.27
Female,43,10639.15
Female,18,1401.57
Female,29,5412.05
Other,30,500.0
Other,27,3240.21
Female,42,500.0
Other,24,5162.49
Female,29,16635.89
Female,67,19008.96
Male,41,2656.91
Male,27,500.0
